_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
407,116295116,1,Single Cycle (5 seconds)
408,803212704,1,Single Cycle (5 seconds)
409,682660454,1,Single Cycle (5 seconds)
410,936522024,1,Single Cycle (5 seconds)
411,801771287,1,Multiple Cycles
412,713256628,1,Single Cycle (5 seconds)
413,713256628,2,Single Cycle (5 seconds)
414,953661798,1,Single Cycle (5 seconds)
415,467187589,1,Single Cycle (5 seconds)
416,393721883,1,Single Cycle (5 seconds)
417,546319084,1,Single Cycle (5 seconds)
418,803668806,1,Single Cycle (5 seconds)
419,975854153,1,Single Cycle (5 seconds)
420,108847628,1,Single Cycle (5 seconds)
421,728086369,1,Single Cycle (5 seconds)
422,884335071,1,Single Cycle (5 seconds)
423,171478908,1,Single Cycle (5 seconds)
424,807124595,1,Single Cycle (5 seconds)
425,943584208,1,Single Cycle (5 seconds)
426,315032066,1,Single Cycle (5 seconds)
427,472699828,1,Single Cycle (5 seconds)
428,330351452,1,Single Cycle (5 seconds)
429,922851170,1,Single Cycle (5 seconds)
430,880426238,1,Single Cycle (5 seconds)
431,231076906,1,Single Cycle (5 seconds)
432,864381019,1,Single Cycle (5 seconds)
433,475565310,1,Multiple Cycles
434,204202862,1,Single Cycle (5 seconds)
435,685535862,1,Single Cycle (5 seconds)
436,108955592,1,Single Cycle (5 seconds)
437,617873683,1,Single Cycle (5 seconds)
438,229716515,1,Multiple Cycles
439,178883633,1,Multiple Cycles
440,683350207,1,Multiple Cycles
441,781934038,1,Multiple Cycles
442,943728963,1,Single Cycle (5 seconds)
443,359680846,1,Single Cycle (5 seconds)
444,356477549,1,Single Cycle (5 seconds)
445,682786579,1,Multiple Cycles
446,440784153,1,Single Cycle (5 seconds)
447,474494332,1,Single Cycle (5 seconds)
448,474494332,1,Multiple Cycles
449,882079120,1,Extended Cycle (more than 5 seconds)
450,815841263,1,Single Cycle (5 seconds)
451,293327326,1,Single Cycle (5 seconds)
452,568404582,1,Single Cycle (5 seconds)
453,311161483,1,Single Cycle (5 seconds)
454,580793987,1,Multiple Cycles
455,684510566,1,Multiple Cycles
456,938821605,1,Single Cycle (5 seconds)
457,200115336,1,Multiple Cycles
458,118558014,1,Single Cycle (5 seconds)
459,617862314,1,Single Cycle (5 seconds)
460,374708606,1,Multiple Cycles
461,893932041,1,Single Cycle (5 seconds)
462,520978632,1,Single Cycle (5 seconds)
463,448892755,1,Single Cycle (5 seconds)
464,501920868,1,Multiple Cycles
465,941648406,1,Single Cycle (5 seconds)
466,941648406,1,Extended Cycle (more than 5 seconds)
467,459375953,1,Multiple Cycles
468,382745795,1,Single Cycle (5 seconds)
469,578741957,1,Missing Data
470,787808792,1,Missing Data
471,232290342,1,Single Cycle (5 seconds)
472,793681289,1,Single Cycle (5 seconds)
473,636751732,1,Single Cycle (5 seconds)
474,636751732,1,Multiple Cycles
475,750439904,1,Single Cycle (5 seconds)
476,465018574,1,Single Cycle (5 seconds)
477,824637320,1,Single Cycle (5 seconds)
478,942733138,1,Single Cycle (5 seconds)
479,920344036,1,Single Cycle (5 seconds)
480,406823460,1,Multiple Cycles
481,139104022,1,Single Cycle (5 seconds)
482,555537616,1,Single Cycle (5 seconds)
483,798596335,1,Single Cycle (5 seconds)
484,246735423,1,Single Cycle (5 seconds)
485,409146564,1,Multiple Cycles
